ECE,MCE,area_between_curves,n_bins,total_patients,model,cancer,fold
0.07079373519100012,0.16734886934960336,0.0038317636912517336,10,191,AMIL-sig,BRCA,4
0.08921219943538496,0.17931976402471472,0.0367900403675093,10,114,AMIL-sig,GBMLGG,0
0.13237703358274644,0.29751799324360384,0.09621080964957138,10,114,AMIL-sig,GBMLGG,1
0.1601569301807142,0.2668427938923553,0.05860110546154708,10,114,AMIL-sig,GBMLGG,2
0.1457349032702332,0.289832648754253,0.09682194967967293,10,114,AMIL-sig,GBMLGG,3
0.11930578359337311,0.2474555123713696,0.03897677652176562,10,113,AMIL-sig,GBMLGG,4
0.13027181536755253,0.35881271158029915,0.005181544993869412,10,91,AMIL-sig,LUAD,0
0.08557668722383786,0.24344013394314112,0.00524910892046858,10,91,AMIL-sig,LUAD,1
0.11220865332872937,0.24281826486667935,0.0062622232165215445,10,91,AMIL-sig,LUAD,2
0.15513068589648785,0.3218895091620691,0.01045979588435121,10,90,AMIL-sig,LUAD,3
0.15618757904422095,0.4716430827667539,0.005397923402615624,10,90,AMIL-sig,LUAD,4
0.08918372625820083,0.16864498075670542,0.0021571466085748133,10,96,AMIL-sig,UCEC,0
0.08095552053815532,0.16533922349348074,0.0013877140580915819,10,96,AMIL-sig,UCEC,1
0.09246700496417389,0.15047849043944983,0.002842351873973382,10,96,AMIL-sig,UCEC,2
0.0805658545092167,0.19367549858278188,0.0015232687773409064,10,96,AMIL-sig,UCEC,3
0.06046820514708354,0.1476803206627756,0.0018190944377743316,10,96,AMIL-sig,UCEC,4
0.07847527635325184,0.14472389137071084,0.007610844858497596,10,201,Cox-PH,BRCA,0
0.34556702308774434,0.8349048623356118,0.3626007203932252,10,75,MCAT,BLCA,0
0.15732203612424875,0.33621671943750575,0.060614984961120014,10,75,MCAT,BLCA,1
0.3014643017777044,0.5968088584816162,0.2475550917277915,10,75,MCAT,BLCA,2
0.3063286705228089,0.7044094332933142,0.3715752227400864,10,74,MCAT,BLCA,3
0.15626080717459676,0.35153767699323957,0.025142814970094737,10,74,MCAT,BLCA,4
0.19957817323105168,0.6786314734987654,0.2906394860051853,20,393,MCAT,BRCA,0
0.17600820142190987,0.5827564476176418,0.24852060205785498,20,392,MCAT,BRCA,1
0.2562456608119545,0.8120000937544668,0.3100246004006229,20,392,MCAT,BRCA,2
0.2193527054737456,0.7229947878656154,0.3005932638154955,20,392,MCAT,BRCA,3
0.1943057709088522,0.5835210031076066,0.2486441274850833,20,391,MCAT,BRCA,4
0.2618687011502418,0.6575384602587165,0.23576395740742834,10,114,MCAT,GBMLGG,0
0.2342094351541577,0.5315930470922445,0.2556751459890823,10,114,MCAT,GBMLGG,1
0.22257262689160215,0.4902623942002029,0.25089068669824216,10,114,MCAT,GBMLGG,2
0.2681935324608897,0.6115751221074758,0.3589203092285633,10,114,MCAT,GBMLGG,3
0.24944577014593625,0.5516823128441865,0.3168110322311836,10,113,MCAT,GBMLGG,4
0.35888522600127487,0.7586601009047055,0.32973916717253565,10,91,MCAT,LUAD,0
0.35835105187228394,0.8817110997268626,0.3478724645779159,10,91,MCAT,LUAD,1
0.35413479768124473,0.7429501807147839,0.3792985412962464,10,91,MCAT,LUAD,2
0.3171612965624402,0.849872334074849,0.3645706849123435,10,90,MCAT,LUAD,3
0.3061899488619408,0.7192787640487521,0.2890160325009964,10,90,MCAT,LUAD,4
0.07409543552070784,0.17262166992647665,0.011333509742892711,10,96,MCAT,UCEC,0
0.07992917813484958,0.2219284513006392,0.027585821547252892,10,96,MCAT,UCEC,1
0.06448116472561556,0.2777963441243181,0.0339336514259388,10,96,MCAT,UCEC,2
0.0888024390883907,0.2898619180659646,0.011150591969039484,10,96,MCAT,UCEC,3
0.11567217740349935,0.34540805001007624,0.04405901226142707,10,96,MCAT,UCEC,4
0.0725466744050874,0.18524133943382004,0.03011072500713952,10,174,MMP,BRCA,0
0.06747790232802356,0.11066050586841125,0.014348297971575715,10,150,MMP,BRCA,1
0.08884604252182504,0.2404323703826886,0.026342144768348213,10,180,MMP,BRCA,2
0.1129942850962998,0.44254806318056544,0.08211962408917738,10,165,MMP,BRCA,3
0.1773357205156922,0.474646681617639,0.19057336097223712,10,169,MMP,BRCA,4
0.14059737193582109,0.2611013030785384,0.01028461521013573,10,75,SNN,BLCA,0
0.11490125162378627,0.2630816041410874,0.009353484096128708,10,75,SNN,BLCA,1
0.16090953937408897,0.3654230922895257,0.01816509055365071,10,75,SNN,BLCA,2
