model,analysis,horizon,horizon_t,fold,p_value,metric_value,method
MCAT,MACE,median,41.55716162943495,2,,0.2210539484323878,original
MCAT,MACE,median,41.55716162943495,3,,0.17029820675354942,original
MCAT,MACE,median,41.55716162943495,4,,0.2032842777524449,original
MCAT,n_eff,1yr,12.0,0,,200.86845688628375,"n_total=201,n_evt=4,n_risk=174,wt_cv=0.026"
MCAT,n_eff,1yr,12.0,1,,200.93384697204604,"n_total=201,n_evt=3,n_risk=180,wt_cv=0.018"
MCAT,n_eff,1yr,12.0,2,,200.91730940448628,"n_total=201,n_evt=6,n_risk=169,wt_cv=0.020"
MCAT,n_eff,1yr,12.0,3,,200.85541597856087,"n_total=201,n_evt=4,n_risk=174,wt_cv=0.027"
MCAT,n_eff,1yr,12.0,4,,199.92080979575454,"n_total=200,n_evt=1,n_risk=179,wt_cv=0.020"
MCAT,n_eff,3yr,36.0,0,,189.85651185511034,"n_total=201,n_evt=13,n_risk=81,wt_cv=0.242"
MCAT,n_eff,3yr,36.0,1,,189.8466599940089,"n_total=201,n_evt=13,n_risk=87,wt_cv=0.242"
MCAT,n_eff,3yr,36.0,2,,188.67414656035905,"n_total=201,n_evt=12,n_risk=82,wt_cv=0.256"
MCAT,n_eff,3yr,36.0,3,,188.839631520098,"n_total=201,n_evt=14,n_risk=84,wt_cv=0.254"
MCAT,n_eff,3yr,36.0,4,,188.23660401214903,"n_total=200,n_evt=14,n_risk=87,wt_cv=0.250"
MCAT,n_eff,5yr,60.0,0,,170.60496553980278,"n_total=201,n_evt=17,n_risk=50,wt_cv=0.422"
MCAT,n_eff,5yr,60.0,1,,170.99668717910868,"n_total=201,n_evt=20,n_risk=48,wt_cv=0.419"
MCAT,n_eff,5yr,60.0,2,,168.47365216287946,"n_total=201,n_evt=18,n_risk=50,wt_cv=0.439"
MCAT,n_eff,5yr,60.0,3,,171.53503683834398,"n_total=201,n_evt=19,n_risk=44,wt_cv=0.414"
MCAT,n_eff,5yr,60.0,4,,169.41879558121357,"n_total=200,n_evt=20,n_risk=50,wt_cv=0.425"
MCAT,n_eff,median,41.55716162943495,0,,184.694231666168,"n_total=201,n_evt=14,n_risk=72,wt_cv=0.297"
MCAT,n_eff,median,41.55716162943495,1,,184.76775371667895,"n_total=201,n_evt=15,n_risk=73,wt_cv=0.296"
MCAT,n_eff,median,41.55716162943495,2,,183.27107666588864,"n_total=201,n_evt=13,n_risk=71,wt_cv=0.311"
MCAT,n_eff,median,41.55716162943495,3,,184.13228291151248,"n_total=201,n_evt=14,n_risk=70,wt_cv=0.303"
MCAT,n_eff,median,41.55716162943495,4,,183.2635169354801,"n_total=200,n_evt=14,n_risk=76,wt_cv=0.302"
MCAT,platt_transfer,1yr,12.0,0,0.019039366833610072,,platt_fit_at_median(41.6)
