mean_predicted,km_observed,ci_lower,ci_upper,n_patients,model,cancer,fold
0.443635206500157,0.2857142857142857,0.04113170341475783,0.6115068326495889,7,MCAT,BLCA,1
0.46378328056249435,0.8,0.20380926326763904,0.9691797888667427,8,MCAT,BLCA,1
0.506359411010945,0.7142857142857143,0.17186601552877506,0.8370827803491806,7,MCAT,BLCA,1
0.6254270628573312,0.7142857142857143,0.2581536654587949,0.9197974560448583,7,MCAT,BLCA,1
0.9274980791008707,0.8750000000000001,0.38700001403202483,0.9813929658789661,8,MCAT,BLCA,1
0.9597541114955972,0.8,0.20380926326763904,0.9691797888667427,7,MCAT,BLCA,1
0.9602851569441408,1.0,1.0,1.0,8,MCAT,BLCA,1
0.9603819248737475,0.7142857142857143,0.17186601552877506,0.8370827803491806,7,MCAT,BLCA,1
0.960414845103466,0.8571428571428572,0.3340538792922218,0.9785610585261756,8,MCAT,BLCA,1
0.001818461550996652,0.4375000000000001,0.042311887960744116,0.6187661358820513,8,MCAT,BLCA,2
0.002028463170802173,0.42857142857142866,0.09775220211692878,0.7343734170514472,7,MCAT,BLCA,2
0.003191141518383981,0.6000000000000001,0.19549586608499786,0.852254345762209,8,MCAT,BLCA,2
0.1063069688699678,0.6857142857142857,0.2127974054293533,0.912111761205414,7,MCAT,BLCA,2
0.7286168216376119,0.7142857142857143,0.2581536654587949,0.9197974560448583,7,MCAT,BLCA,2
0.7496237662852845,0.8571428571428572,0.2581536654587949,0.9197974560448583,8,MCAT,BLCA,2
0.7499661349691057,1.0,1.0,1.0,7,MCAT,BLCA,2
0.7502599705659876,1.0,1.0,1.0,8,MCAT,BLCA,2
0.7504189024140447,1.0,0.20380926326763904,0.9691797888667427,7,MCAT,BLCA,2
0.7505738533860633,0.8571428571428572,0.2581536654587949,0.9197974560448583,8,MCAT,BLCA,2
0.00867467194994231,0.3750000000000001,0.08700622510135315,0.6743633265627795,8,MCAT,BLCA,3
0.009876280992400146,0.7142857142857143,0.2581536654587949,0.9197974560448583,7,MCAT,BLCA,3
0.02081085895354629,0.5000000000000001,0.11094826035143791,0.8037092368500569,7,MCAT,BLCA,3
0.17840423057589172,0.8571428571428572,0.2127974054293533,0.912111761205414,8,MCAT,BLCA,3
